Date,Open,High,Low,Close,Volume,,,,,
41660.00,578.30,579.83,573.50,1160.51,3974500.00,,,,,
41661.00,581.13,581.76,577.27,1161.83,3154500.00,,,,,
41662.00,577.83,579.07,575.03,1156.92,3912700.00,,,,,
41663.00,573.36,574.62,559.40,1120.75,7814000.00,,,,,
41666.00,560.95,561.15,539.11,1098.21,8739800.00,,,,,
41667.00,553.09,560.77,552.90,1119.94,4436900.00,,,,,
41668.00,557.47,558.78,547.66,1103.89,4777500.00,,,,,
41669.00,570.36,574.09,561.52,1132.28,10220800.00,,,,,
41670.00,583.49,591.05,573.42,1177.74,11174200.00,,,,,
41673.00,587.40,588.65,563.89,1130.33,9172400.00,,,,,
41674.00,566.87,575.34,566.38,1135.04,5644800.00,,,,,
41675.00,569.56,573.24,561.90,1140.07,4806800.00,,,,,
41676.00,573.42,577.91,571.63,1156.78,3907600.00,,,,,
41677.00,581.63,586.75,578.11,1174.22,5292000.00,,,,,
41680.00,583.71,588.99,582.33,1169.72,3904800.00,,,,,
41681.00,587.88,593.71,583.92,1186.92,4116900.00,,,,,
41682.00,592.28,592.78,588.48,1183.44,3461800.00,,,,,
41683.00,588.17,597.71,587.63,1196.61,3686400.00,,,,,
41684.00,595.57,599.95,594.17,1199.51,4389700.00,,,,,
41688.00,598.46,604.17,597.76,1207.56,4233500.00,,,,,
41689.00,600.40,602.35,596.51,1199.05,4222900.00,,,,,
41690.00,599.32,601.19,597.87,1200.81,3414300.00,,,,,
41691.00,601.65,602.68,599.17,1200.49,3738500.00,,,,,
41694.00,600.43,607.80,600.30,1209.19,3361100.00,,,,,
41695.00,605.70,609.96,602.95,1216.66,2888100.00,,,,,
41696.00,609.71,612.15,604.61,1216.83,3979100.00,,,,,
41697.00,606.92,609.83,606.23,1215.87,2529400.00,,,,,
41698.00,607.89,609.81,600.86,1212.32,4644500.00,,,,,
41701.00,601.12,601.66,593.84,1199.40,4225300.00,,,,,
41702.00,605.23,605.73,602.49,1211.58,2946300.00,,,,,
41703.00,605.26,609.26,603.44,1214.92,2479700.00,,,,,
41704.00,608.86,610.79,607.02,1216.27,2545600.00,,,,,
41705.00,611.11,611.20,603.46,1211.46,3041500.00,,,,,
41708.00,605.58,606.55,599.80,1208.25,2438200.00,,,,,
41709.00,604.62,604.89,596.09,1196.70,3438800.00,,,,,
41710.00,595.97,601.67,589.88,1203.99,3943200.00,,,,,
41711.00,601.72,602.99,590.17,1185.80,4708600.00,,,,,
41712.00,588.79,593.21,584.08,1169.59,4604900.00,,,,,
41715.00,587.42,596.30,586.86,1188.84,4340300.00,,,,,
41716.00,595.10,603.50,594.30,1207.94,3643500.00,,,,,
